Fon,French
Azɔ tε a nɔ wa ?,Quel travail fais-tu ?
ayĭ - ayìkúngban - kɔ́ - gbεmὲ - wɛ̀kɛ́ - agĕ,terre
nǔɖuɖu tɛnmɛtɛnmɛ,diverses sortes de repas
e yi axì bó xɔ̀ avɔ blakasaa ɖé lɛ́ wá sà,elle est allée au marché acheter des tissus de peu de valeur pour les revendre
e sà kpɔcɔnu tɔ̀n,elle a vendu à vil prix
a sɔ wa xwegbe azɔn ɖokpo do xwe atɔɔn mɛ à,tu n'es pas revenu à la maison une seule fois en cinq ans
E ɖo ɖa wlowlo,Il a les cheveux frisés
Zànsúkpɛ́ lɛ́ ɖú mì,Les moustiques m'ont piqué.
adi ci mì,j'ai des soucis
E nɔ xwí gì,On tamise l’akassa dans l’eau.
Jĭ ɖŏ tè,La pluie de la saison est finie.
tíìn găn,être capable de
Ma lɔya ɖɔ o.,Ne dis pas de blagues
agunsótó - gàn - gannú - jlε̆ - nùjlὲnú - zĕ bă dŏ xò mε ná,mesure
Un na sε wema ɖokpo do.,Je vais envoyer une lettre
"Mɛ fífá wɛ̀ un nyí, bó nyí xomɛfátɔ́",Je suis doux et humble de cœur.
cuku ɖokpoɖokpo ɖo kɔnu tɔn,chaque chien a un collier
Vì élɔ́ bĭ ă,Cet enfant n’est pas normal.
Agban lε nyi kijekije do denu.,Les bagages sont examinés à la douane
azinkpoblotɔ wε nyi,c'est un menusier
Salada ɖo kpɔ kpɔn enε wε.,Chaque salade coûte 100 f 
"Nǔ a wa nɛ́ ɔ́, lɔ̀jɔ́́ un dó mɔ̀",Ce que tu as fais là me paraît monstrueux.
Kɔ́ ɛ̀,Ne l’accepte pas.
Glelilɛ ma nyɔ ze,"On ne peut emporter un champ "" Le travail du champ n'est pas bon à prendre """
dà ayihún,s'amuser
Un jló ná zùn xɔ́ntɔ́n xá wè,Je voudrais devenir ton ami.
jijɔnyinyɔ́ - mεdɔndówŭ - nyìnyɔ́ - nyùnyɔ́ - xomɛfífá - xomɛnyinyɔ́ - xomɛnyunyɔ́,bonté
e fɛ́n,c'est cassé
É cí vokán nú yĕ,Il reste à l’écart d’eux.
ani ká nyí mɔ̆,qu'est-ce que c'est donc
E ɖo lan xɔ wɛ,Il achète de la viande.
E ɖo lan xɔ wε.,Il achète de la viande 
Ɖokpo jɛ ji,Et un de plus.
ɖŏ gbὲ - nɔ̀ gbὲ,être en vie
Un yi Glexwe kpɔn gbeɖe a,Je ne suis jamais allé à Ouidah.
awii mitɔn,votre chat
xwè kùn dŏ mɛ,marquer la désapprobation envers quelqu'un en faisant kùn
ayiɖòwὲnnánɔ̀ - ayilɔ́jlɔ́nɔ̀ - ayisɔgbenánɔ̀,homme juste
Măwŭ jɛ̀ wŭ mĭ,Dieu nous a aimés gratuitement.
Bill kpodo nyε kpo nɔ ɖɔ fongbe kpodo fransegbe kpo,Bill et moi parlons fon et français.
mi gb'ádɔ ɖɔ̀ mi na yí nùɖíɖí mitɔn sín ajɔ̀,ayez confiance et vous aurez la récompense de votre foi
Gan nabi mε hun nɔ sun ?,A quelle heure le moyen de transport ?
Mi nɔ mɔ hunto ɖo atinkuku lε mε.,On trouve des champignons dans les bois 
ylɔ ɛ bo nu azɔwatɔ lɛ wa ɔ,appelle-le dès que les ouvriers viendront
Abà cé vɛ́,Mon bras me fait mal.
Awu xoxo,Vieille robe
nu tε kpɔn a ɖe sin ceju wo,qu'est
kú sù,être indifférent aux besoins d'autrui
yĕ sa vo nú tɔ́ ce gbɔ̀ jĭ cè,ils ont supplié mon père par mon intermédiaire
e vivi nu jan,jean est content
Awu ce gɔ̀,Ma chemise est décolorée.
jezú ɖeɖɛ̀ mì sín hwɛ mɛ̀,jésus nous a délivrés du péché
e hínhán takín,il a soufflé après avoir mangé du piment très fort
Un gbɔ̀n akpá n'í,Je l'ai alerté.
E na li ayo ɔ bo na sεn timati lε,L'ail sera écrasé et les tomates seront pelées
é wá lò,il est enfin arrivé
Akóbá tɛ́ ɖíè !,Quel malheur !
"Ajalalà, ajlalà","Gril, claie, salon avec de nombreuses portes"
hɔ̀n fεnnyέ,déterrer du manioc
yĕ bĭ jɛ̀ hetè bó gbɛ́ ɖɔ̀ émí kún ná w'azɔ̀ ó,ils se sont tous révoltés et ont refusé de travailler
nùjìjlá - nùjlàjlà,réclame
Avivɔ ɖo mɛ sin wɛ,On tremble de froid.
jὲ kὲn xá mε - xɔ̀ kὲn xá mε,tomber en inimitié avec quelqu'un
Xɔ ɔ ɖo lilɔn wɛ gbɔn atin la atin la ji,L’agouti saute de branche en branche.
E yì sɛ́xwé,Il est allé au ciel.
étɛ́ jí é ká sí te dó,quelle est la conclusion
đo xɔ towe mɛ ɔ́ e nɔ́ mɔ̀ wèmá kpétó,dans ta chambre on voit des livres partout
E tɔ́n kpá,Elle a ses règles.
akpaví,carpe
Mi ɖo ali kanbyɔ wε.,Nous demandons la route
Sinbla sin we wε a ?,As-tu soif ?
hɛn mì,veille sur moi
un nɔ xɔ ye ɖo wɔxuxusatɛn,je les achète à la boulangerie
un zɛ̀,j'ai incisé
agbaza yetɔn nɔ fεɖε,leur corps est frêle
Gan mε kpo nu mi.,Nous avons le temps
yɛhwexɔ ɖaxó,cathédrale
Fítɛ́ kókwé élɔ́ lɛ́ ká gó sín ?,D'où proviennent ces bananes ?
Nu tε ɖo jijε wε ?,Que se passe-t-il ? 
slέ - zĕ mε yì jŏ,trahir
yé jivi,elles ont accouchées
Yè súbɔ́ xwé ɔ́,Ils ont encombré la maison.
azɔ mitɔn lɛ bi vɔ,tous nos devoirs sont finis
nɔ te ɖò,aboutit à
awŏvì - awòvínú - nùjέnŭmε - sasú,accident
A ! Un ɖo asi su kpɔ din !,Ah ! J'ai beaucoup de femmes !
a ɖɔ,tu dis
xwe nabi wɛ à kà ɖo,quel âge as
Daa ɔ mɔ lanmε,Le chef de village est grand
acú hɛ̀n mɔ ɔ fɛ́,un rat a déclenché le piège
Wɔxuxumεtɔ ɔ ɖo wɔxuxu ɖo wɔxuxumεnu mε.,La boulanger a des pains dans le four 
É má nyɔ́ nɛ́,Ce n’est pas bien du tout.
Nutɔtɔ ɔ ɖo rɔbu lε blo ɖo wε,La couturière répare les robes .
Bo gba ye do,Et les dispersent
aɖɔgwe e mɛ̀ un nɔ dó sin dó yì gleta ɔ́ gbà,la gourde dans laquelle je mets de l'eau pour aller au champ est cassée
Mi mɔ jonɔ gege hwezivɔ hwenu elɔ.,Nous avons reçu beaucoup de visiteurs cet été
Nɔvi ce nyɔnu kpεvi ɔ ɖo Kutɔnu.,Ma jeune soeur est allée à Cotonou
sὲ bɔ̀ dŏ mεɖé wŭ,se serrer
lĕe tɔ́ mitɔn lɛ́ kó bló gbɔ́n ɔ́ mɔ̀ jɛ́n mi lɔlɔ́ mɔ̆ mi na bló gbɔ̀n,vous ferez exactement comme vos pères ont fait
"Din ɔ́, un na kú ɖò fífá jí, ɖó un mɔ̀ nukún tówé mɛ̀","Maintenant, je mourrai en paix, car j’ai vu ton visage."
nŭ yayá wɛ̀,c'est une futilité
hwɛ tɛ́ nya élɔ́ hù,quelle faute cet homme a-t-il commise
Azɔmɛvi lɛ ɖo mɛsi yetɔn kpɔn wɛ,Les élèves regardent leur maître.
e ɖò yiyi wɛ̀ ganjí à,est-ce que ça va bien
dŏ gbatɛ̀,engager
e sún hwì ɔ̀ sín akún mɛ̀,il sortit l'épée de son fourreau
Ye yi wan nu sin mimε,Ils aiment l'eau propre.
Vi lɛ na ma yovo dokɔ ɖaxo ɖokpo,Les enfants se partageront un gros gâteau.
E ɖɔ,"""Nu a na wa jɛ nukɔn ɔ, e wa gbɔn gudo wɛ a ɖe nɛ"""
dŏ - sέ dŏ,mettre
Un ɖo akwɛ bo na xɔ nuɖuɖu ɔ,J'ai assez d'argent pour payer le repas.
awa ce flé ză,mon bras a pelé
mi ɖo na mɔ mi ɖe ɖo gan atɔɔn mɛ,nous devons nous retrouver à cinq heures
etɛ́ wɛ́ zɔ̀n bɔ̀ gbɛtɔ́ ɖó ná nɔ̀ kpɔ́ xá mɛ ɖe lɛ́,pourquoi l'homme doit
mi kp'ɛ̀,admirez
etɛ mɛsi ɔ nɔ kplɔn mi,que vous enseigne l'instituteur
Un ɖo zozo,J’ai la fièvre
"Do ma kɛ a ɔ, alɔtɔ nɔ byɔ mɛ ă. ","Si le mur ne se fend pas, le lézard n'y entre pas."
avɔnyinya,blanchissage
afatɔɔn kanwe ko ele kanɖe,100040
sɔ́ hwì tówè d'ákún mɛ̀,mets ton épée dans le fourreau
nukún tɔ́n nɔ́ jà ɖasin cɛɖɛcɛɖɛ̀,il verse des larmes abondamment
E nɔ da hun bɔ gbe tɔn nɔ vε se ă,"Quand on a invité un orchestre de tam-tam, on ne se plaint pas du bruit"
hwezivɔ nɔ dó yà nú wé wɛ́ à,est
Ma hwlɛ́n dó ó,Ne te presse pas.
lobo ku ayixa mɛ vo,et mourut l'âme en paix
Xεvi lε nɔ ɖu dovɔn,Les oiseaux mangent des vers.
é dó mɔ̀ nú mì,il est venu me voir
é,elle
xɛvi ɔ ɖo gbe nu wɛ ɖo atinla ɔ ji,l'oiseau se balance sur une branche de tamarinier
É ɖò gogwe mɛ̀,C’est dans le coin.
mimɔ ε sin akpakpa ɖona ɖo sisɔ we wε,tu dois avoir hâte de le revoir
alixíxá lɛ́ bì ná nɔ̀ tlélé,les chemins tortueux deviendront droits
Ayunmlimli ɔ ɖo jɔhon ɖe wε.,Le ballon se dégonfle 
un jlo na yi a,je ne veux pas y aller
mìmlàtɔ́ - mlàmlá - mlàmlàtɔ́,remuant
Un xwè axi mɛ̀,Je m'en vais au marché.
Gbɛtɔ́ wɔ̀búwɔ́bú ɖé wɛ́ wá amĭsà égbé,Il y a beaucoup de gens qui sont venus à la messe aujourd’hui.
Mi mε we wε wa azɔ ɔ.,Nous avons fait le travail à deux
zùn xɔ́ntɔ̀n xá mɛ,être fiancé
ye blo nu ɖokpo ɔ xa mi,ils ont fait pareil avec nous
Gbɛtɔ́ nyɔ́ mlí wɛ̀,C’est quelqu’un d’agréable.
jŏ dŏ,délaisser
é jɛ zɔ̀ bo zun ì,il alla se poster au loin et l'insulta
Etɔn wε,C'est le sien
Mi yi wan nu ye bo mi nɔ le si ye,Nous les aimons et nous leur obéissons .
Jean kpodo Jaki kpo ɖo kwin xo wɛ,Jean et Jacques jouent aux billes.
Afrika wε nyi nukɔn to do nuwiwa enε ɔ mε kpodo 41% vile tɔn kpo,L’Afrique est en premier dans cette situation avec un pourcentage de 41%.
hwε towé jɔ,tu as raison
E nɔ na nu nunu.,On donne à boire
un yi cobɔ fifo hwenu wa su,je suis partie avant la fin
E nɔ se to nu nu mεsi tɔn.,Il obéit toujours à son instituteur
Nya hɛn tɔ tɔn cyɔ bɔ hla wa yi. - Nyɛ wɛ a nɔ ba na kpɛn.,"Un homme portait le cadavre de son père et l'hyène s'en est emparé. - Sur moi, tu commençais à peser."
co mi na yi ɖo gan wo ɖokpo mɛ ɔ un ɖo na wa azo k,nous partons à onze heures avant cela je vais travailler un peu
cɔ́ hwiɖéé ɖò yè tɛ́ntín,prends garde à toi avec eux
"Xó é ɖɔ́ nú mí ɔ́, un n’ɛ́ flíjɛ̀ tɔ̀n ɖò tɛn tɔn mɛ̀","La parole qu’il m’a dite, je lui en ai donné la réponse contraire sur le champ."
Lεngbɔvi lε ɖo lilɔn wε ɖo gle ɔ mε,Les chevreaux gambadent dans le champ.
E ɖú mí ă,Cela ne me concerne pas.
Kún tɔ́n nyɔ́,Il est de très bonne lignée.
n'abɔɛ́,tais
Xεvi lε zɔn,Les oiseaux se sont envolés
avunví,fils de chien
gbìgbέ - kíkɔ́ - kúkɔ́ - nùgbìgbέ,refus
e nyɔ́ ɖɛkpe hú há tɔ́n lɛ́ bĭ,elle est plus belle que toutes ses compagnes
gbánnáná - texwè,vertical
un nɔ se mɛ,je suis obéissant
akɔ́nkpántɔ́ - asúká - ayiglaglánɔ̀ - mεglaglá,brave
wemaxixa ɖagbe wɛ,c'est un livre intéressant
Ye nɔ hɛn agban kpikpɛn,Ils portent un fardeau.
é nyɔ́ nú a na bló gbɔ̀n mɔ̆,il convient que tu fasses ainsi
mi mε we wε wa azɔ ɔ,nous avons fait le travail à deux
akoba,étonnement
gìɖútɔ́ - xuɖutɔ́ - xìɖìví,héritier
"Nyaɖe nyɛ awon ɖo Ahwlikpɔnuwa nukɔn bo kpɔn gudo. E ɖɔ : ""Nu a na wa jɛ nukɔn ɔ, e wa gbɔn gudo a ɖe nɛ""","""Nu a na wa jɛ nukɔn ɔ, e wa gbɔn gudo a ɖe nɛ"" "
É nɔ́ ɖɔ xó mlamlà,Il parle très rapidement.
E do gesi mɛ,II a fait le portrait de quelqu'un
E jlo na yi kɛkɛbloɖotɔ,Il veut être mécanicien.
atin lε nyi gbigbo tɔ,les arbres ont été abattus
E yi axi bo xɔ xu glojo kεɖε,II est allé au marché et n'a acheté que des os sans chair
afɔ tɔn hlɔ́n,son pied est enflé
nùgblègblé wɛ̀,c'est inconvenant
a yĭ azăn kpɛɖé à,as-tu pris un peu de vacances
Xɛvi lɛ zɔn,Les oiseaux se sont envolés.
toɖevomεnu ɔ ɖo fi,l'étranger est ici
Ma t’aɖŭ atínkɛ́n ɔ́ jí ó,Ne croque pas ce comprimé.
Jixwéyíyí Jezú tɔn sín xwè,Fête de l'Ascension.
Ma kán ɖĕbù kpó wɛ́ é nyí,Rien n’est enlevé de lui (Il est vierge).
bi gudo ɔ,après tout
kplé ká,faire la cérémonie familiale où l'on mange ensemble
E nɔ wa nuti keze ɔ mε ă,Il ne fait rien de la journée
Ato lε e ɖo cica nu vi lε wε.,Et les singes se moquent des enfants
mɛ̀ bá w'á ɖè,qui cherches
Zàn vlɔ́ ɖó wè b’ɛ́ wá xwé,Il était minuit quand il est arrivé à la maison.
Un ɖi ɖɔ nawe ɔ ɖɔ finɛ jɛ nukɔn n'ɛ,Je crois que la dame était avant lui.
kplɔ́n mε,instruire quelqu'un
e tín ɖó ná wá fí,il doit venir ici
"Ajaka ɖu ma sɛ a ɔ, xwetɔ nɔ t'afɔ ji tɔn. ",La souris qui mange sans bouger se fait piétiner par le propriétaire.
Hwɛ mɛ vɔ,Sans toi.
Gbe ɖokpó sù,Il était une fois.
Glexwe nyi toxo kpɛvi,Ouidah est une petite ville.
Ma jɛ̀ sănsì,Je veux acheter de l'essence.
Bɔ kan nyikɔ ce byɔ,Et tu demandes mon nom
E cyɔn kpodo xɔgbagannu kpo,Elle est couverte avec des tôles
kú xó ɔ́ xó jɛ́n wɛ̀,la mort est inévitable
"É gbà gŏ cè, bɔ̀ un byɔ́ xɔ ɔ é ɔ́, é húzú mɛglɛnzín","Il a cassé mon ampoule et quand je suis rentré dans la maison, il se présentait comme innocent dans l’affaire."
mɛ atɔn gble wu,trois blessés
aɖùɖúɖú - aɖùzɔ́n,mal de dents
é sɔ̀ atɛ́n ă,il n'y en pas beaucoup
Mi ɖo xwe ɖokpo ɖo fi nu gbojε.,Nous avons une maison ici pour l’été
un byɔ xwe ɔ gbe,je suis entré dans la maison
Eyε (ee) kpɔn,"Lui, il a regardé. Elle, elle a regardé"
un nyi yɔkpɔvu din nu mi,je suis trop jeune pour vous
bligédé - dă - zofúnnú,briquet
Azinzɔnnɔ ɔ ɖo zan ɔ gudo,Le malade est derrière le lit.
tɛnmɛ ɖò kpɔ́ ɖò tɔ́ cé xwé,il y a beaucoup de demeures dans la maison de mon père
A blo din,"Merci, tu as fait beaucoup."
ɖè - ɖè kanlin,acheter un animal à élever
dŏ tagbà nú mε - dŏ yà nú mε - fùn,déranger
Mawuxokplɔnvi lε se amisa ɔ.,Les catéchumènes ont entendu la messe 
Xɔ towe mɛ dó zìnflú,C'est obscur chez toi.
kpé xó xá súnnù,avoir un rendez-vous avec un homme
"Aklunɔ, d’alɔ mi","Seigneur, aide-moi."
e gló mì,ca me dépasse
"Nu ye nyla hun ɔ, e na dɔn to nu ye","S’ils sont méchants, on les punira."
un na tɛ kan sɔ zanzan,je vais téléphoner demain matin
Ablumɛ̀ hlɔ̀nhlɔ́n lɛ́,Les forces de l’ombre.
Un mɔ̀ nŭ mɔ̀húnkɔ gbeɖé ă,Je n'ai jamais vu une chose semblable.
e ɖɔ  kun wa o,il a dit que  n'est pas venu
Mi kpàn'kɔ́n !,Soyez audacieux !
Etε mi na ɖu ɖo gan wewe mε ?,Qu'est-ce qu'on mange à midi ? 
Ɖe tɛ Kofi ɖu?,Lequel Kofi a mangé ?
Un gɔ́ xò déwúndéwún,J’ai le ventre bien plein.
Hwetεnu a nɔ fon ?,Quand te réveilles-tu ?
un ná kíjá agɔ̀ cé lɛ́ bó ná vɔ́ ɖaxó tɔ́n lɛ́ ɖĕvo gbá nà kplé jinukún cè lɛ́ kpódó dɔkun ce lɛ́ ɖ'é mɛ̀,je vais démolir mes greniers et en construire de plus grands pour y amasser tout mon grain et tous mes biens
Un ba jɔhɔnwu ɖi towe ɖɔhun.,Je voudrais un manteau comme le tien 
e vɛ́ wŭ ă,c'est bénin
jònɔ́ já nú wè,un hôte arrive pour toi
É ɖò kɛ́ɖɛ́,Ça va doucement.
Zunkanmɛli lɛ nɔ kpla mɛ yi zunkan mɛ,Les sentiers mènent à la brousse.
É dó kókwé và,Il a mis des bananes à mûrir.
blŏ axì nú mì ganjí gegé ná xɔ́ wέ un ɖé,fais
brenda ɔ mεsi glεnsingbe kplɔnmεtɔ wε,brenda est professeur d'anglais
Un nɔ hwεn nu kpodo awɔntin ce kpo.,Je flaire avec le nez
Yĕ ɖò fí tetè,Ils sont à divers endroits.
é hlún nù ɖɔ́ dó jĭ cè,il a murmuré contre moi
E nɔ ɖu lan ă,Il ne mange pas de viande
jὲ tè - wă dò - yì dò,descendre
e jɛ kpo lí,elle s'est agenouillée
amɔ,mais
wezizá ká vún gbá yĕ,la lumière se répandit sur eux
Un klɛ́n afɔ̀,J’ai fait un faux pas.
ɖò vò,être séparé
Doto lɛ ɖo azɔn gbɔ nu azizonnɔ lɛ wɛ,Les médecins soignent les malades.
nùɖúɖú ná húhwɛ́,la digestion va se faire
Un nɔ lɛ wu gbadanu hwebinu,Je me lave toujours le soir.
ɖo tlolo mɛ ɔ,a l'instant
lĕe é ɖé gbɔn din ɔ nɛ́,c'est à la mode
Lεngbɔ lε nɔ ɖo awɔntin gaga kpodo si kpεvi kpo.,Les chèvres ont de longs nez et la queue courte
un na lε jε ji ali ce,je continue mon chemin
atin wun,arbuste épineux
cuku,chien
wŭn zalinkpɛ́n dŏ zò mɛ̀,verser de l'encens sur du feu
É ɖɔ̀ a na wá,Il a dit que tu viendras.
"Nu ye nylan hun ɔ, e na dɔn to nu ye.","S’ils sont méchants, on les punira : "
Jɔmεhun ɖo yiyi wε dεdε.,L’avion vole à faible altitude
É kán’gbàn nú mì,Il m’a fait un cadeau à son retour.
heelù,malheur cette interjection marque parfois la surprise ou aussi le soulagement après un gros effort
malɛ́nu ɖò lɔn ki wɛ̀,le musulman fait sa prière
é nɔ́ dó gàn dó azɔ̀ tɔ́n wú,elle s'acharne à son travail
un ɖo wɔxuxu sεn n'ε wε,je lui coupe du pain
e lín káká ɔ́ un na lɛ́ wá gàn tɛ́nwe mɛ̀,je reviendrai au plus tard à sept heures
E ɖo Mawu’si,C'est au pouvoir de Dieu
Kpasatin ɖaxoɖaxo gbɔn ali ɔ to bi.,Tout le long de la route se dressent de hauts baobabs 
Nu kpεɖe jεn un tuun ɖo ji tɔn.,Je sais peu de choses à son sujet 
Sɔ́ ɖó fí ɖé,Mets-le quelque part.
asúká wɛ̀,il est viril
Florian tεn kpɔn bo d'amlɔ ɖo zan tɔn kpεvi ɔ ji.,Florian essayait de s'endormir dans son petit lit
E ɖyɔ́ awù,Il a changé de vêtement.
"Mi ma wá à ɔ́, é ná lá mi","Ça ne ressemble à rien, c'est une futilité."
atínsú - lŏkò,iroko
Kofi kpɔn,Kofi a regardé
é bɛ́ kwɛ́ dó akpɛ́tɛ́ tɔ́n mɛ́ b'ɛ́ ɖo wɔgiì,il a ramassé l'argent dans son porte-monnaie et il y en avait en quantité
Nu tɛ wutu a ma ylɔ a ?,Pourquoi n'as-tu pas appelé ?
E blo fataa,Il l'a fait gratuitement
Vi ɔ ko nu bo nyi gbe ɖɔ.,L'enfant rit et répondit 
Vedomɛ nɔ nyɔ́ sɔ̀ cígán ă,Le vedome n’est pas aussi bon que le cigân.
A ɖu nu,Tu manges
Tɔ́ cé xɔ mɔ̆to vɛncɛɛn ɖokpó,Mon père a acheté une voiture neuve.
e tuun bo blo ă,il ne l'a pas fait exprès
xò akɔ́n nú éɖéé - xò akɔ́nta nú éɖéé - zìn alɔ̀ dŏ akɔ́n,se frapper la poitrine
Măwù nɔ́ xò mɛ ɖĕbǔ nyi kɛ́n ɖò gbɛtɔ́ lɛ́ mɛ̀ ă,Dieu ne fait pas de différence entre les hommes.
é hɛn  mitɔn bu,il a perdu votre
é wǔn sìn d'ákpò,il a pris la moitié de l'eau du récipient
E nɔ́ bló nù lɛ́ bĭ jɛjɛjɛ̀,Il fait tout sans faire attention.
ooo,oui réponse à une question
slú adanvέ - vì adanvέ,vomir de la bile
Yiyi ce gudo,Après mon départ
Nù lɛ́ bì ní yì lyɛ̆ngbèlyɛ̆ngbè,Que tout aille normalement.
un ɖo jivi lε gan wε,j'aiguise les couteaux
Hun bo ma ɖɔ fanfun o !,Ne dis donc pas de bêtises !
gbε̆ - glɔ̆n,empêcher de
xó nɛ́ ɔ́ gba kpé tó,cette nouvelle s'est répandue partout
bà glădì,chercher à paraître
Un xwe kun d'é,Je lui ai marqué ma désapprobation.
a sɔ́ tuwun mi à - un sɔ́ tuwun wà à,me reconnais-tu – je ne te reconnais plus
dŏ alɔ̀ wèmá mὲ,apposer son empreinte digitale
yè nà bló,ils feront
A fo azɔ towe,Tu finis ton devoir.
mitɔ́n lέ,les nôtres
un bló klapíì,je suis une crapule
é zé kokló hɛn nu,il tient le poulet dans sa bouche
A blo ganji,"Merci, tu as fait très bien"
Xó ɖè sɔ́ kpò ă,Il n’y a rien à ajouter.
tɔjihún ɔ́ flí,la pirogue s'est renversée
E ɖo nǔ ɖu wɛ,Il est en train de manger.
hɔ̆ - hùhɔ́ - wăn - yɔ̀,s'affaisser
Wă gbɔ̀n fí,Viens par ici.
É zɛ hwɛ̀,Il est sorti.
un vò ă,je suis occupé
vodunsi lε ye na ɖu we egbe ɖo vodunxɔmε,les initiés du vodou vont danser aujourd'hui au couvent du vodou
etε wa wé,qu'est ce qui t'es arrivé
un ɖo wemaxiixa yɔyɔ ce lε hun kpɔn wε kpodo xomε hunhun kpo,je feuillette mes nouveaux livres de classe avec plaisir
Mĭ ɖò bɔ̌luafɔsɔ́xotɛn ɖĕvo bló wɛ̀,Nous sommes en train de faire un nouveau terrain de football.
Un yi wan nu axɔsi ɔ sin togbe lɛ,J'ai adoré les boucles d'oreilles de la reine mère.
É xɔ̀ kokló kɛɖɛkɛɖɛ ɖokpó,Il a acheté un grosse poule.
un na sɛ́ wèmá élɔ́ dó nɔ̀ví cé gbɔ̀n pósù,j'enverrai cette lettre à ma soeur par la poste
hwè jὲ tókpá ɔ́,vers les quatre heures de l'après-midi
Un ylɔ ɖo gan wo kpo ceju wo gblamɛ,"Eh bien, j'ai appelé à environ dix heures moins dix."
É ɖò gankpá ɔ́ mɛ̀,Il est à la prison.
"Glăsì, glăsè, glăswè",Verre à boire
É ɖò mì kpɔ́n wɛ̀,Il me regarde.
donk ye ko su,donc elles sont déjà grandes
"Nya ɖe yi ahwan bo fin se wa nu asi tɔn. - Nu e ma zɔn we a ɔ, jɛn nɔ mya nukun nu we. ",Un homme alla à la guerre et en rapporta à sa femme une pierre à moudre qu'il avait volée. – Tu es plein de zèle pour ce qu’on ne t’a pas commandé.
Kpɔ kpe lεngbɔvi ɔ kpεvi bo ɖɔ n'i ɖɔ.,Le léopard rencontra la petite chèvre et dit 
wù yá wè,tu es actif
Kpɔ jε ahan,La panthère a acheté des boissons
é ɖo vuvo mɛ̀,elle est à l'aise
gblĕ wŭ,se blesser
tɔkpa na jɛ sɔ,le marché tokpa s'animera demain
dŏ avajà nŭ mὲ - fún lε̆n,semer du désordre
E w'azɔ ganji a wɛ a ?,Est-ce qu'il n'a pas bien travaillé ?
e jɛ̀ jì tówé ɔ́ a na wá,tu viendras à ton tour
"Ee, un nɔ blo azan lε bi.",Oui. Je m'entraîne tous les jours 
Nyavi nɛ ɔ ɖo ta gowungowun ɖe,Ce garçon a une très très grosse tête
Un mɔ ayixa ti ɖebu a,Je n'ai aucune idée.
etɛ wutu mi nɔ yi azɔxɔ mɛ,pourquoi allez
É nɔ́ ɖi zɔnlìn gbagbaɖà gbagbaɖà,Il marche lourdement d’un côté et de l’autre.
E nɔ́ yí mɛ ganjí,Il est hospitalier.
"Ée un wá ɔ́, a ɖò xwé gbe ă","Lorsque je suis venu, tu n’étais pas à la maison."
É wà nù dó nɔ̀ví tɔ́n wú,Il a fait mal à son frère.
awù,habit
N’ɛ wema ye ze nu mi ɔ,Donne-lui le livre qu’ils m’ont laissé.
e ɖíɖá agban nú nɔ tɔ̀n,il a porté les bagages pour sa mère
"Yɔkpɔ́ tówúntowùn, wà dó gbe mì","Belle jeune fille, viens me saluer."
E si wa nyi kanlin lε sin dotoo.,Il se pourrait qu'elle devienne vétérinaire
Un yi wan nu we ɖesu,Je t'aime beaucoup
e kpà mĭ,cela nous a réussi
mi sixu ze vi ce azɔmɛ a,pouvez
mi ma fɔn ganji á,êtes
Tɔ ce nɔ xa xojlawema lɛ,Mon père lit les journaux.
Un kínkɔ́n wŭ,Je me suis écorché.
e jɛ́ wè,cela te convient
Yɛ̀yí tɛ́ e wlí n'í ?,Quels honneurs lui a-t-on rendus ?
e gó sín azɔ̀ tɔ́n jí,il a quitté son travail
e kpɔ́n te hú ɖè ɔ́,il est meilleur que l'autre
A wa kpɔn mi ɔ.,Tu viens me voir 
ɖì xɛsì,s'intimider
kεkεvi ɔ byɔ bɔ mε ɖo ali nyanya ɔ ji,le chariot est embourbé dans le mauvais chemin
Kafe ɔ hun myɔ,Le café est trop chaud
nŭ ɖagbe tɛ́ ná dó kàn agban nú piɛ wɛ̀ à ɖè,quel beau cadeau vas
Jomεhuntεn to ta lε bi tɔn wε.,C'est un aéroport international
un ɖó xwé kó,j'ai vingt ans
Azɔmεvi ɖo nukplɔnmε xa wε.,L’élève répète sa leçon 
kέn - kέnjí,grêle
ɖŏ acɔ́ xá mε - ɖŏ àcɔ́ xá mε - ɖŏ hè xá mε,flirter avec quelqu'un
É zin i d’áyĭ,Il l’a terrassé.
E ɖo kwɛ nyɛ ɖɔhun,Il a autant d'argent que moi
Tɔsisa Bɛnɛ tɔn lɛ,Les fleuves du Bénin.
a na mì atínkɛ́n élɔ́,tu avaleras ce comprimé
nùɖúɖú aya wɛ̀ mĭ ɖù ă mɛ̀,ce n'est pas une nourriture quelconque que nous avons mangée
É dó mɔ̀ nú mì,Il est venu me voir.
Tɛ̀ ɖɛ̀ jí bó ɖɔ̀ ganjí,Articule bien.
gbèhán sú gle élɔ́,ce champ est envahi par les herbes
zĕ gbà élɔ́ yí jí,monte cette caisse
E ku jε tɔ mε.,Il est mort noyé
Mɛɖe do gesi wema,Carte d'identité
Yɔkpɔ́vú ɖé nɔ́ kpɔ́n wungbado mɛ nú mì ă,Un enfant ne me regarde pas ainsi.
un na cyán nùyɔ́ywɛ́,je vais aller chercher des brindilles
Mi yi ɖe ɔ xwe atɔn ɖie,Nous y sommes allés il y a trois ans .
xwé nú miɖé,nous fêtons
ényí mì gbɛ́ mɛmɛ ɔ́ é lɔ ná wá gbɛ́ mɛmɛ mĭ,si nous le renions lui aussi nous reniera
